route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
18da16ddc76af4298946910a95e42de7,21065,1050926,Valga bussijaam,Antsla - Vilaski - Valga bussijaam,A>B,44290,0
18da16ddc76af4298946910a95e42de7,26348,1050927,Valga bussijaam,Antsla - Vilaski - Valga bussijaam,A>B,44290,0
fc1ab0be056476a5086df663d6278597,21456,994800,Otepää,Valga - Keeni - Puka - Arula - Otepää,A>B,42778,0
239a9d65950b35e7cd6388b6aaca3177,21459,1024720,Otepää,Valga - Puka - Otepää,A>B,42777,0
ba31af4278719ed9de7602f78efa19e6,21463,884340,Valga bussijaam,Otepää - Sihva - Keeni - Sangaste - Valga,A>C1>B,40997,0
0773f3f47d35764722b59943b761d860,21464,1015320,Tõrva,Valga - Tõrva - Pikasilla - Riidaja - Tõrva,A>B,46267,0
18c28e3851af5ac5441c38978ed5348c,21467,1028449,Antsla,Valga - Lüllemäe - Antsla,A>B,47133,0
18c28e3851af5ac5441c38978ed5348c,21467,1028450,Valga bussijaam,Antsla - Valga bussijaam,B>A,47134,0
c8a34003423418b3b301cf9296e09af9,21477,884345,Tõrva,Valga - Tõrva,A>B,40946,0
1517ddb319b09329bddffed350023431,22090,1013933,Tõrva,Riiska-Taagepera-Tõrva,A>B,46254,0
0e3f0c88a6b1a83dfe93a56a5266be00,43496,1041115,Koigi kool,Koigi kool - Köisi - Sõrandu - Koigi kool,A>A,17346,0
0876f9e40c3820d32a59e21e6d4653cc,48765,1103230,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Riisali - Rükkeli,A>B,49232,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103231,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103233,Tolli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103234,Tolli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103235,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103238,Tolli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103239,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103242,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,125435,1103243,Rükkeli,Tolli - Raekoja - Palu - Raekoja - Rükkeli,A>B1,49326,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103232,Rükkeli,Tolli - Raekoja - Laatsi - Raekoja - Rükkeli,A>B2,49330,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103236,Tolli,Tolli - Raekoja - Laatsi - Raekoja - Rükkeli,A>B2,49330,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103237,Rükkeli,Tolli - Raekoja - Laatsi - Raekoja - Rükkeli,A>B2,49330,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103240,Tolli,Tolli - Raekoja - Laatsi - Raekoja - Rükkeli,A>B2,49330,0
0876f9e40c3820d32a59e21e6d4653cc,48766,1103241,Rükkeli,Tolli - Raekoja - Laatsi - Raekoja - Rükkeli,A>B2,49330,0
3e663eca19d0e088427d92fe65f8fabd,62705,1105300,Paide bussijaam,Ervita - Koeru - Paide bussijaam,B1>B>A,49375,0
3e663eca19d0e088427d92fe65f8fabd,62705,1105299,Ervita,Paide bussijaam - Peetri - Koeru - Ervita,A>A1>B,20077,0
5e9f26444b33e58451f89d2d52201877,62711,1106700,Koeru,Väike-Maarja - Järva-Jaani - Koeru,B2>A1>A,49428,0
5e9f26444b33e58451f89d2d52201877,62711,1106699,Väike-Maarja,Koeru - Järva-Jaani - Väike-Maarja,A>A1>B2,49429,0
bc4d6b07cad9b6cdc9f7c3eff0cb9129,62720,1041118,Koigi kool,Koigi kool - Köisi -Sõrandu - Koigi kool,A>A,17342,0
2bbfa80449c29fac921cf36f5b07c132,62721,1041119,Koigi kool,Koigi kool - Köisi - Sõrandu - Koigi kool,A>B>A,43160,0
2bbfa80449c29fac921cf36f5b07c132,62722,1041120,Koigi kool,Koigi kool - Köisi - Sõrandu - Koigi kool,A>B1>A,43161,0
1d43dbf2d106a2ef5c736fda295a2cc9,62807,1023266,Väätsa kool,Kultuurikeskuse - Väätsa kool,A>B1,18912,0
1d43dbf2d106a2ef5c736fda295a2cc9,62807,1023267,Kultuurikeskus,Väätsa kool - Kultuurikeskuse,B1>A,17364,0
1d43dbf2d106a2ef5c736fda295a2cc9,62808,1035898,Pearna,Kultuurikeskuse - Väätsa - Pearna,A>B,47683,0
1d43dbf2d106a2ef5c736fda295a2cc9,62808,1035899,Kultuurikeskus,Pearna - Väätsa - Kultuurikeskuse,B>A,17363,0
7dbdc413d692ab358e566919d2c939dd,62811,1105305,Paide bussijaam,Paide bussijaam - Roosna-Alliku - Järva-Jaani -  Ramma,A>C3>A,49401,0
5039f7bdae567f74d458f17307a2611b,63129,1084422,Tartu bussijaam,Lootvina - Roiu -Tartu,B>A,18708,0
ba4d62d4a42ed3d75e89f58378b6b6e6,63160,351146,Liiva,Tartu - Kuuste - Liiva,A>B,18714,0
b05be446b008b0cad27483b865e24e28,63467,1100733,Tartu bussijaam,Tartu - Külitse järve - Haage - Tartu,A>C1>A,49297,0
2845a216b94727f640a0dac19835fbd4,63501,1087970,Tartu bussijaam,Rõngu - Elva - Peedu - Nõo - Tartu,B>C1>A,49048,0
8b30ab806f55b13a750b857001139c51,63752,1042768,Tartu bussijaam,Kodavere - Kallaste - Alatskivi - Koosa - Tartu,B>A,18745,0
41e11c843b3f64ce31862e898c8c2964,63776,533850,Tartu bussijaam,Kallaste -Kokora - Alatskivi - Koosa - Tartu,B>A,21032,0
67c6b2f38c5ab0806b691caaece3881c,63873,1025108,Tartu bussijaam,Kallaste - Savastvere - Alatskivi - Välgi - Tartu,B>A,46793,0
631ebf624faf3b377162c7eb7ae62fb0,64054,1025109,Tartu bussijaam,Kärgandi tee - Välgi - Tartu,B>A,46794,0
3d6fdf9ced823d6e4949991fc80a73f1,64422,539058,Tartu bussijaam,Arusoo - Mehikoorma - Järvselja - Tartu,B>A,18876,0
385f71adb0530d25ba5e9f6f618c002a,64424,539059,Tartu bussijaam,Arusoo - Laaksaare sadam - Mehikoorma - Järvselja - Tartu,B>A,18878,0
a0380c33435c95ba6fb3b1a9e819462a,64533,475927,Tartu bussijaam,Kavastu - Pilka - Tartu,B>A,18903,0
08915e15f0e2ada0290b94c7cb6d004d,64570,475931,Tartu bussijaam,Kallaste - Alatskivi - Koosa - Pilka - Tartu,B>A,18820,0
f63c31dfc855e6dd4c8c8a0336374d86,66824,1013937,Tõrva,Valga-Taagepera-Tõrva,A>B,46262,0
b9bc724bad8b80852c90f8d84b1e6f24,66834,892249,Valga bussijaam,Tõrva -  Valga bussijaam,A>C1>B,41364,0
106372a735c56551a7e8efeaab7d596b,67751,912030,Valga bussijaam,Otepää - Puka - Keeni - Valga,A>B,42698,0
106372a735c56551a7e8efeaab7d596b,67750,912029,Valga bussijaam,Otepää - Puka - Keeni - Valga,A>C1>B,42699,0
2910c6d6f493c924b333f38b780e0d8e,69937,902428,Lüllemäe,Nõudeliin/Lüllemäe-Valga-Lüllemäe,A>A,40994,0
f8262017a5e71623cae98fe999b36bef,70698,610689,Tartu bussijaam,Tartu - Kammeri - Tartu,A>A,20263,0
a07026334dd46e384b32552bf4b807bb,70761,351535,Tartu bussijaam,Kolkja - Varnja - Koosa - Tartu,B>A,18755,0
1484b914f06aa0e01e0adf0b4efe80d8,72295,778021,Jõgeva,Jõgeva - Siimusti - Jõgeva,A>B,25140,0
